1,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}"
2,"{'Hab': ['indeedDuck', 'indeedBall', 'indeedShoe', 'reallyBall', 'reallyDuck', 'reallyShoe', 'onlyBall', 'onlyDuck', 'onlyShoe', 'justShoe', 'justDuck', 'justBall'], 'test': ['notShoe', 'notBall', 'notDuck']}"
3,"{'Hab': ['reallyDuck', 'reallyShoe', 'reallyBall', 'onlyDuck', 'onlyShoe', 'onlyBall', 'justDuck', 'justBall', 'justShoe', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['notBall', 'notShoe', 'notDuck']}"
4,"{'Hab': ['onlyBall', 'onlyDuck', 'onlyShoe', 'indeedShoe', 'indeedBall', 'indeedDuck', 'justShoe', 'justBall', 'justDuck', 'reallyBall', 'reallyShoe', 'reallyDuck'], 'test': ['nowShoe', 'nowBall', 'nowDuck']}"
5,"{'Hab': ['justDuck', 'justBall', 'justShoe', 'reallyDuck', 'reallyShoe', 'reallyBall', 'indeedBall', 'indeedShoe', 'indeedDuck', 'onlyShoe', 'onlyDuck', 'onlyBall'], 'test': ['notBall', 'notDuck', 'notShoe']}"
6,"{'Hab': ['justBall', 'justDuck', 'justShoe', 'reallyDuck', 'reallyBall', 'reallyShoe', 'indeedShoe', 'indeedBall', 'indeedDuck', 'onlyBall', 'onlyDuck', 'onlyShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}"
7,"{'Hab': ['justDuck', 'justBall', 'justShoe', 'indeedDuck', 'indeedShoe', 'indeedBall', 'reallyShoe', 'reallyBall', 'reallyDuck', 'onlyBall', 'onlyDuck', 'onlyShoe'], 'test': ['nowBall', 'nowDuck', 'nowShoe']}"
8,"{'Hab': ['indeedShoe', 'indeedBall', 'indeedDuck', 'justBall', 'justDuck', 'justShoe', 'reallyBall', 'reallyDuck', 'reallyShoe', 'onlyBall', 'onlyDuck', 'onlyShoe'], 'test': ['notShoe', 'notBall', 'notDuck']}"
9,"{'Hab': ['reallyDuck', 'reallyBall', 'reallyShoe', 'justBall', 'justDuck', 'justShoe', 'onlyBall', 'onlyDuck', 'onlyShoe', 'indeedShoe', 'indeedDuck', 'indeedBall'], 'test': ['notBall', 'notDuck', 'notShoe']}"
10,"{'Hab': ['onlyDuck', 'onlyShoe', 'onlyBall', 'reallyShoe', 'reallyDuck', 'reallyBall', 'justShoe', 'justBall', 'justDuck', 'indeedShoe', 'indeedBall', 'indeedDuck'], 'test': ['nowShoe', 'nowBall', 'nowDuck']}"
11,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'indeedShoe', 'indeedBall', 'indeedDuck', 'justBall', 'justDuck', 'justShoe', 'reallyDuck', 'reallyShoe', 'reallyBall'], 'test': ['nowShoe', 'nowDuck', 'nowBall']}"
12,"{'Hab': ['indeedDuck', 'indeedShoe', 'indeedBall', 'reallyBall', 'reallyDuck', 'reallyShoe', 'justBall', 'justDuck', 'justShoe', 'onlyBall', 'onlyShoe', 'onlyDuck'], 'test': ['notDuck', 'notShoe', 'notBall']}"
13,"{'Hab': ['justShoe', 'justDuck', 'justBall', 'onlyShoe', 'onlyDuck', 'onlyBall', 'reallyBall', 'reallyDuck', 'reallyShoe', 'indeedShoe', 'indeedDuck', 'indeedBall'], 'test': ['nowDuck', 'nowShoe', 'nowBall']}"
14,"{'Hab': ['indeedDuck', 'indeedBall', 'indeedShoe', 'justBall', 'justShoe', 'justDuck', 'onlyBall', 'onlyDuck', 'onlyShoe', 'reallyShoe', 'reallyBall', 'reallyDuck'], 'test': ['notBall', 'notDuck', 'notShoe']}"
15,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'indeedBall', 'indeedDuck', 'indeedShoe', 'reallyDuck', 'reallyShoe', 'reallyBall', 'justDuck', 'justBall', 'justShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}"
16,"{'Hab': ['reallyShoe', 'reallyBall', 'reallyDuck', 'justShoe', 'justBall', 'justDuck', 'onlyDuck', 'onlyShoe', 'onlyBall', 'indeedDuck', 'indeedShoe', 'indeedBall'], 'test': ['notShoe', 'notDuck', 'notBall']}"
17,"{'Hab': ['indeedBall', 'indeedDuck', 'indeedShoe', 'onlyDuck', 'onlyBall', 'onlyShoe', 'reallyDuck', 'reallyShoe', 'reallyBall', 'justShoe', 'justBall', 'justDuck'], 'test': ['nowShoe', 'nowDuck', 'nowBall']}"
18,"{'Hab': ['onlyDuck', 'onlyShoe', 'onlyBall', 'reallyBall', 'reallyDuck', 'reallyShoe', 'indeedDuck', 'indeedShoe', 'indeedBall', 'justBall', 'justShoe', 'justDuck'], 'test': ['notBall', 'notDuck', 'notShoe']}"
19,"{'Hab': ['indeedShoe', 'indeedDuck', 'indeedBall', 'justDuck', 'justBall', 'justShoe', 'onlyDuck', 'onlyShoe', 'onlyBall', 'reallyBall', 'reallyDuck', 'reallyShoe'], 'test': ['notBall', 'notDuck', 'notShoe']}"
20,"{'Hab': ['indeedBall', 'indeedShoe', 'indeedDuck', 'reallyDuck', 'reallyShoe', 'reallyBall', 'justShoe', 'justBall', 'justDuck', 'onlyShoe', 'onlyDuck', 'onlyBall'], 'test': ['nowDuck', 'nowShoe', 'nowBall']}"
21,"{'Hab': ['indeedDuck', 'indeedBall', 'indeedShoe', 'justBall', 'justDuck', 'justShoe', 'onlyDuck', 'onlyShoe', 'onlyBall', 'reallyDuck', 'reallyBall', 'reallyShoe'], 'test': ['notShoe', 'notBall', 'notDuck']}"
22,"{'Hab': ['justDuck', 'justBall', 'justShoe', 'indeedBall', 'indeedShoe', 'indeedDuck', 'onlyBall', 'onlyShoe', 'onlyDuck', 'reallyShoe', 'reallyDuck', 'reallyBall'], 'test': ['nowDuck', 'nowShoe', 'nowBall']}"
23,"{'Hab': ['onlyShoe', 'onlyDuck', 'onlyBall', 'justShoe', 'justBall', 'justDuck', 'indeedShoe', 'indeedBall', 'indeedDuck', 'reallyBall', 'reallyShoe', 'reallyDuck'], 'test': ['nowBall', 'nowDuck', 'nowShoe']}"
24,"{'Hab': ['onlyDuck', 'onlyShoe', 'onlyBall', 'indeedDuck', 'indeedShoe', 'indeedBall', 'justDuck', 'justShoe', 'justBall', 'reallyBall', 'reallyShoe', 'reallyDuck'], 'test': ['notShoe', 'notDuck', 'notBall']}"
25,"{'Hab': ['indeedBall', 'indeedShoe', 'indeedDuck', 'justShoe', 'justDuck', 'justBall', 'onlyBall', 'onlyDuck', 'onlyShoe', 'reallyShoe', 'reallyBall', 'reallyDuck'], 'test': ['nowShoe', 'nowBall', 'nowDuck']}"
26,"{'Hab': ['reallyShoe', 'reallyBall', 'reallyDuck', 'indeedShoe', 'indeedBall', 'indeedDuck', 'justShoe', 'justDuck', 'justBall', 'onlyDuck', 'onlyShoe', 'onlyBall'], 'test': ['notDuck', 'notShoe', 'notBall']}"
27,"{'Hab': ['justDuck', 'justShoe', 'justBall', 'indeedShoe', 'indeedDuck', 'indeedBall', 'onlyDuck', 'onlyBall', 'onlyShoe', 'reallyBall', 'reallyShoe', 'reallyDuck'], 'test': ['nowShoe', 'nowDuck', 'nowBall']}"
28,"{'Hab': ['onlyShoe', 'onlyDuck', 'onlyBall', 'justDuck', 'justShoe', 'justBall', 'reallyDuck', 'reallyShoe', 'reallyBall', 'indeedShoe', 'indeedDuck', 'indeedBall'], 'test': ['notBall', 'notShoe', 'notDuck']}"
29,"{'Hab': ['indeedShoe', 'indeedDuck', 'indeedBall', 'justBall', 'justShoe', 'justDuck', 'onlyShoe', 'onlyBall', 'onlyDuck', 'reallyBall', 'reallyDuck', 'reallyShoe'], 'test': ['notShoe', 'notBall', 'notDuck']}"
30,"{'Hab': ['onlyBall', 'onlyShoe', 'onlyDuck', 'reallyBall', 'reallyShoe', 'reallyDuck', 'justShoe', 'justDuck', 'justBall', 'indeedShoe', 'indeedBall', 'indeedDuck'], 'test': ['nowDuck', 'nowShoe', 'nowBall']}"
